persona_id,nome,cognome,data_nascita,luogo_nascita,genere,collegio,gruppo_partito,sigla_gruppo,commissione,email_istituzionale,email_pec,form_contatti_url,telefono_e164,indirizzo_ufficio,sito_ufficiale,fonte_url,fonte_data
309220,ALBERTO,PANDOLFO,19851129,GENOVA,male,LIGURIA - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,"X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)",pandolfo_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=309220,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=309220,2025-08-18
305880,NICOLA,FRATOIANNI,19721004,PISA,male,TOSCANA - P03,ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022,AVS,III COMMISSIONE (AFFARI ESTERI E COMUNITARI),fratoianni_n@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=305880,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=305880,2025-08-18
301531,MARIA ROSARIA,CARFAGNA,19751218,SALERNO,female,PUGLIA - P04,"NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022",NM(N-C-U-I)M-CP,COMITATO DI VIGILANZA SULL'ATTIVITA' DI DOCUMENTAZIONE,carfagna_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=301531,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=301531,2025-08-18
308761,CALOGERO,PISANO,19810620,AGRIGENTO,male,SICILIA 1 - P02,"NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022",NM(N-C-U-I)M-CP,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI LAVORO IN ITALIA, SULLO SFRUTTAMENTO E SULLA TUTELA DELLA SALUTE E DELLA SICUREZZA NEI LUOGHI DI LAVORO PUBBLICI E PRIVATI",pisano_c@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308761,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308761,2025-08-18
308895,GIULIA,PASTORELLA,19860605,MILANO,female,LOMBARDIA 1 - P01,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022,AZ-PER-RE,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLA SCOMPARSA DI EMANUELA ORLANDI E DI MIRELLA GREGORI,pastorella_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308895,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308895,2025-08-18
306064,GIULIO CESARE,SOTTANELLI,19700410,ARBON,male,ABRUZZO - P01,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022,AZ-PER-RE,"COMITATO PER LE INCOMPATIBILITA', LE INELEGGIBILITA' E LE DECADENZE",sottanelli_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=306064,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=306064,2025-08-18
308781,FEDERICA,ONORI,19880616,ALBANO LAZIALE,female,EUROPA,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022,AZ-PER-RE,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DELL'ORGANIZZAZIONE PER LA SICUREZZA E LA COOPERAZIONE IN EUROPA OSCE,onori_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308781,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308781,2025-08-18
308244,ELENA,BONETTI,19740412,ASOLA,female,VENETO 2 - P02,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022,AZ-PER-RE,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DEL CONSIGLIO D'EUROPA,bonetti_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308244,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308244,2025-08-18
300674,ETTORE,ROSATO,19680728,TRIESTE,male,CAMPANIA 1 - P02,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022,AZ-PER-RE,UNIONE INTERPARLAMENTARE,rosato_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=300674,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=300674,2025-08-18
307686,GIORGIA,ANDREUZZA,19731211,PARMA,female,VENETO 1 - P01,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI SICUREZZA E SULLO STATO DI DEGRADO DELLE CITTA' E DELLE LORO PERIFERIE,andreuzza_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307686,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307686,2025-08-18
307143,EDOARDO,ZIELLO,19920411,CIVITAVECCHIA,male,TOSCANA - P03,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI SICUREZZA E SULLO STATO DI DEGRADO DELLE CITTA' E DELLE LORO PERIFERIE,ziello_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307143,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307143,2025-08-18
