persona_id,nome,cognome,inizio_mandato,legislatura,tipo_mandato,carica,gruppo_partito,circoscrizione_o_collegio,regione,email_istituzionale,email_pec,form_contatti_url,telefono_e164,indirizzo_ufficio,photo_url,sito_ufficiale,fonte_url,fonte_data
32,Maria Elisabetta,Alberti Casellati,2022-10-13,19,elettivo,senatore,FI-BP-PPE,1 (BASILICATA - U01 (POTENZA),Basilicata,maria.alberticasellati@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00000032.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00000032.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00000032.htm,2025-08-27
32578,Alessandro,Alfieri,2022-10-13,19,elettivo,senatore,PD-IDP,,Lombardia,alessandro.alfieri@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00032578.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032578.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032578.htm,2025-08-27
36381,Vincenza,Aloisio,2022-10-13,19,elettivo,senatore,M5S,,Campania,vincenza.aloisio@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00036381.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036381.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036381.htm,2025-08-27
36382,Paola,Ambrogio,2022-10-13,19,elettivo,senatore,F,2 (PIEMONTE - U02 (MONCALIERI),Piemonte,paola.ambrogio@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00036382.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036382.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036382.htm,2025-08-27
31010,Bartolomeo,Amidei,2022-10-13,19,elettivo,senatore,F,,Veneto,bartolomeo.amidei@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00031010.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00031010.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00031010.htm,2025-08-27
36383,Renato,Ancorotti,2022-10-13,19,elettivo,senatore,F,,Lombardia,renato.ancorotti@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00036383.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036383.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036383.htm,2025-08-27
17542,Alberto,Balboni,2022-10-13,19,elettivo,senatore,F,4 (EMILIA-ROMAGNA - U04 (RAVENNA),Emilia,alberto.balboni@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00017542.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00017542.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00017542.htm,2025-08-27
32583,Alberto,Barachini,2022-10-13,19,elettivo,senatore,,,Lombardia,alberto.barachini@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00032583.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032583.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032583.htm,2025-08-27
36431,Michele,Barcaiuolo,2022-10-13,19,elettivo,senatore,F,,Emilia,michele.barcaiuolo@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00036431.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036431.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00036431.htm,2025-08-27
29270,Lorenzo,Basso,2022-10-13,19,elettivo,senatore,,,Liguria,lorenzo.basso@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00029270.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00029270.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00029270.htm,2025-08-27
29273,Alfredo,Bazoli,2022-10-13,19,elettivo,senatore,,,Lombardia,alfredo.bazoli@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00029273.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00029273.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00029273.htm,2025-08-27
32586,Giorgio Maria,Bergesio,2022-10-13,19,elettivo,senatore,LSP-PS,5 (PIEMONTE - U05 (CUNEO),Piemonte,giorgio.bergesio@senato.it,,,,,https://www.senato.it/leg/19/Immagini/Senatori/00032586.jpg,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032586.htm,https://www.senato.it/leg/19/BGT/Schede/Attsen/00032586.htm,2025-08-27
